"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",494997,"CTNNBIP1",6400.82480239877,-4997.8035226144,4.8,"Acinar.1",-1.4089114039515,1,"intraC"
"c_1_51_238",494998,"REG1A",6401.06560327178,-4997.8035226144,1.6,"Acinar.1",-0.280114121363994,1,"intraC"
"c_1_51_238",494999,"CPA1",6401.66689020415,-4997.8035226144,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",495000,"CPA1",6401.78705222395,-4997.8035226144,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495001,"CPA1",6402.86946406892,-4997.8035226144,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",495002,"PRSS1",6403.47122783472,-4997.8035226144,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",495003,"ZG16B",6399.14110362142,-4997.6828837612,2.4,"Acinar.1",-3.66159194656523,1,"intraC"
"c_1_51_238",495004,"CELA3A",6399.50206651421,-4997.6828837612,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495005,"MT1X",6399.62222853402,-4997.6828837612,4,"Acinar.1",-0.663821321016899,1,"intraC"
"c_1_51_238",495006,"PNLIP",6400.22351546639,-4997.6828837612,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495007,"CPB1",6400.46431633939,-4997.6828837612,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",495008,"REG1B",6401.30592731136,-4997.6828837612,1.6,"Acinar.1",-0.937428673941866,1,"intraC"
"c_1_51_238",495009,"REG1B",6402.02785309695,-4997.6828837612,1.6,"Acinar.1",-0.937428673941866,1,"intraC"
"c_1_51_238",495010,"REG1B",6402.14801511675,-4997.6828837612,0.8,"Acinar.1",-0.937428673941866,1,"intraC"
"c_1_51_238",495011,"PNLIP",6403.11026494193,-4997.6828837612,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",495012,"CPA1",6403.11026494193,-4997.6828837612,5.6,"Acinar.1",0,1,"intraC"
