Feature	Comparison	Estimate	P	FDR	sig_level
SOD2/MnSOD	No vs Yes	0.180454087666308	0.793754432630193	0.995681809340043	NS or Estimate < 0.25
ROS1	No vs Yes	0.0651113781223069	0.707506584274674	0.995681809340043	NS or Estimate < 0.25
STAT5b	No vs Yes	0.156500862827666	0.872106559359128	0.995681809340043	NS or Estimate < 0.25
Rel B	No vs Yes	0.235336827532711	0.608265798574539	0.995681809340043	NS or Estimate < 0.25
Topoisomerase II alpha (phospho T1343)	No vs Yes	0.510153140505858	0.107460108223695	0.995681809340043	NS or Estimate < 0.25
Met (c-Met) (phospho Y1349)	No vs Yes	0.221872172137181	0.612225980185951	0.995681809340043	NS or Estimate < 0.25
STAT4	No vs Yes	0.201106031004874	0.607748421460829	0.995681809340043	NS or Estimate < 0.25
Topoisomerase II alpha (phospho S1106)	No vs Yes	0.186122470907622	0.460309911395398	0.995681809340043	NS or Estimate < 0.25
Progesterone Receptor (phospho S190)	No vs Yes	0.377851862111298	0.155054714105001	0.995681809340043	NS or Estimate < 0.25
SIRT1 (phospho S47)	No vs Yes	0.250248031497426	0.522032141212157	0.995681809340043	NS or Estimate < 0.25
Tuberin (phospho T1462)	No vs Yes	0.248356905873413	0.184318847824426	0.995681809340043	NS or Estimate < 0.25
Retinoic Acid Receptor beta	No vs Yes	-0.0741088291036455	0.714542015581937	0.995681809340043	NS or Estimate < 0.25
Cyclophilin A	No vs Yes	-0.24075644896545	0.68011073303693	0.995681809340043	NS or Estimate < 0.25
NCAM1	No vs Yes	0.309004504195137	0.182453531334896	0.995681809340043	NS or Estimate < 0.25
MDM2 (phospho S166)	No vs Yes	0.151320147585614	0.682491708592004	0.995681809340043	NS or Estimate < 0.25
Oct-2	No vs Yes	0.270544371910135	0.302594450382421	0.995681809340043	NS or Estimate < 0.25
Rb (phospho T252)	No vs Yes	0.21874472451079	0.465098255967521	0.995681809340043	NS or Estimate < 0.25
Nectin-4	No vs Yes	0.0815223941374328	0.769744713506983	0.995681809340043	NS or Estimate < 0.25
p73	No vs Yes	0.25674310932496	0.330173411956031	0.995681809340043	NS or Estimate < 0.25
uPA Receptor/U-PAR	No vs Yes	0.123501798945168	0.769394680069585	0.995681809340043	NS or Estimate < 0.25
GITR	No vs Yes	0.594173181831177	0.12333923355734	0.995681809340043	NS or Estimate < 0.25
Glucose Transporter GLUT1	No vs Yes	-0.629635310868351	0.374133030708202	0.995681809340043	NS or Estimate < 0.25
PDGF B	No vs Yes	0.484014092833964	0.441510992164273	0.995681809340043	NS or Estimate < 0.25
NCR1	No vs Yes	0.353951843772312	0.159035807293099	0.995681809340043	NS or Estimate < 0.25
Mannose Receptor	No vs Yes	0.499701596393838	0.433454388121715	0.995681809340043	NS or Estimate < 0.25
TLR8	No vs Yes	0.259387508818191	0.38935803609164	0.995681809340043	NS or Estimate < 0.25
