clusters_unsup_harmony,cell_ID
5,c_1_205_1796
3,c_1_205_1797
8,c_1_205_1798
3,c_1_205_1799
10,c_1_205_1800
3,c_1_205_1801
10,c_1_205_1802
2,c_1_205_1803
5,c_1_205_1804
5,c_1_205_1805
5,c_1_205_1806
2,c_1_205_1807
8,c_1_205_1809
5,c_1_205_1810
9,c_1_205_1811
6,c_1_205_1812
0,c_1_205_1815
3,c_1_205_1816
2,c_1_205_1817
0,c_1_205_1819
2,c_1_205_1820
1,c_1_205_1821
10,c_1_205_1822
6,c_1_205_1824
6,c_1_205_1825
2,c_1_205_1826
2,c_1_205_1827
2,c_1_205_1828
3,c_1_205_1829
1,c_1_205_1830
0,c_1_205_1831
6,c_1_205_1832
5,c_1_205_1833
3,c_1_205_1834
5,c_1_205_1835
5,c_1_205_1836
6,c_1_205_1837
10,c_1_205_1838
10,c_1_205_1839
2,c_1_205_1840
0,c_1_205_1841
10,c_1_205_1842
6,c_1_205_1844
5,c_1_205_1845
3,c_1_205_1846
3,c_1_205_1847
2,c_1_205_1849
5,c_1_205_1851
3,c_1_205_1852
5,c_1_205_1853
6,c_1_205_1855
2,c_1_205_1856
0,c_1_205_1857
10,c_1_205_1860
3,c_1_205_1861
6,c_1_205_1863
5,c_1_205_1864
6,c_1_205_1866
10,c_1_205_1867
10,c_1_205_1868
6,c_1_205_1869
2,c_1_205_1870
2,c_1_205_1872
2,c_1_205_1873
2,c_1_205_1874
6,c_1_205_1875
10,c_1_205_1876
2,c_1_205_1877
5,c_1_205_1878
3,c_1_205_1879
0,c_1_205_1880
2,c_1_205_1881
3,c_1_205_1882
10,c_1_205_1883
2,c_1_205_1884
10,c_1_205_1885
1,c_1_205_1886
2,c_1_205_1887
6,c_1_205_1890
5,c_1_205_1892
10,c_1_205_1893
10,c_1_205_1894
0,c_1_205_1895
3,c_1_205_1898
10,c_1_205_1899
2,c_1_205_1900
3,c_1_205_1901
3,c_1_205_1903
5,c_1_205_1904
2,c_1_205_1906
2,c_1_205_1907
2,c_1_205_1908
3,c_1_205_1910
11,c_1_205_1911
10,c_1_205_1914
5,c_1_205_1915
2,c_1_205_1917
3,c_1_205_1919
2,c_1_205_1920
2,c_1_205_1921
1,c_1_205_1922
2,c_1_205_1923
10,c_1_205_1924
10,c_1_205_1925
2,c_1_205_1926
3,c_1_205_1927
2,c_1_205_1928
2,c_1_205_1930
2,c_1_205_1931
2,c_1_205_1932
10,c_1_205_1933
2,c_1_205_1934
5,c_1_205_1935
11,c_1_205_1936
2,c_1_205_1937
2,c_1_205_1938
9,c_1_205_1939
10,c_1_205_1940
5,c_1_205_1941
2,c_1_205_1943
8,c_1_205_1945
3,c_1_205_1946
9,c_1_205_1947
2,c_1_205_1948
2,c_1_205_1949
2,c_1_205_1951
10,c_1_205_1952
2,c_1_205_1953
5,c_1_205_1954
0,c_1_205_1957
2,c_1_205_1958
11,c_1_205_1959
3,c_1_205_1960
2,c_1_205_1961
9,c_1_205_1962
2,c_1_205_1963
0,c_1_205_1964
3,c_1_205_1966
5,c_1_205_1967
1,c_1_205_1969
2,c_1_205_1972
5,c_1_205_1973
10,c_1_205_1974
5,c_1_205_1975
2,c_1_205_1976
10,c_1_205_1979
5,c_1_205_1980
5,c_1_205_1981
10,c_1_205_1984
2,c_1_205_1986
2,c_1_205_1989
2,c_1_205_1990
10,c_1_205_1991
6,c_1_205_1993
2,c_1_205_1994
10,c_1_205_1995
2,c_1_205_1996
10,c_1_205_1997
2,c_1_205_1998
5,c_1_205_2000
10,c_1_205_2001
2,c_1_205_2002
5,c_1_205_2005
3,c_1_205_2007
9,c_1_205_2008
2,c_1_205_2009
10,c_1_205_2011
3,c_1_205_2012
2,c_1_205_2014
6,c_1_205_2015
5,c_1_205_2016
2,c_1_205_2017
2,c_1_205_2019
3,c_1_205_2020
2,c_1_205_2022
10,c_1_205_2024
5,c_1_205_2026
3,c_1_205_2027
5,c_1_205_2029
1,c_1_205_2030
9,c_1_205_2032
10,c_1_205_2034
2,c_1_205_2036
9,c_1_205_2037
3,c_1_205_2038
9,c_1_205_2040
2,c_1_205_2042
5,c_1_205_2043
9,c_1_205_2045
10,c_1_205_2046
2,c_1_205_2047
5,c_1_205_2048
5,c_1_205_2049
2,c_1_205_2050
5,c_1_205_2051
2,c_1_205_2052
2,c_1_205_2053
2,c_1_205_2054
2,c_1_205_2055
5,c_1_205_2057
10,c_1_205_2059
2,c_1_205_2060
6,c_1_205_2061
3,c_1_205_2062
5,c_1_205_2064
17,c_1_205_2066
2,c_1_205_2067
10,c_1_205_2068
10,c_1_205_2069
1,c_1_205_2070
2,c_1_205_2071
10,c_1_205_2072
2,c_1_205_2073
5,c_1_205_2074
5,c_1_205_2075
17,c_1_205_2076
5,c_1_205_2077
5,c_1_205_2078
5,c_1_205_2079
10,c_1_205_2080
10,c_1_205_2081
6,c_1_205_2082
2,c_1_205_2083
5,c_1_205_2085
2,c_1_205_2087
5,c_1_205_2089
5,c_1_205_2090
2,c_1_205_2091
3,c_1_205_2093
5,c_1_205_2094
2,c_1_205_2095
2,c_1_205_2096
3,c_1_205_2097
0,c_1_205_2098
6,c_1_205_2099
5,c_1_205_2100
3,c_1_205_2101
10,c_1_205_2102
2,c_1_205_2103
2,c_1_205_2104
2,c_1_205_2105
10,c_1_205_2106
5,c_1_205_2109
9,c_1_205_2111
5,c_1_205_2112
5,c_1_205_2113
1,c_1_205_2114
10,c_1_205_2116
2,c_1_205_2118
5,c_1_205_2119
2,c_1_205_2120
6,c_1_205_2121
11,c_1_205_2122
5,c_1_205_2123
5,c_1_205_2126
10,c_1_205_2127
2,c_1_205_2128
5,c_1_205_2130
5,c_1_205_2132
5,c_1_205_2133
5,c_1_205_2136
2,c_1_205_2137
5,c_1_205_2138
2,c_1_205_2139
2,c_1_205_2142
5,c_1_205_2143
2,c_1_205_2144
10,c_1_205_2147
5,c_1_205_2148
10,c_1_205_2149
2,c_1_205_2150
5,c_1_205_2151
2,c_1_205_2153
10,c_1_205_2155
9,c_1_205_2156
3,c_1_205_2157
2,c_1_205_2158
3,c_1_205_2159
2,c_1_205_2161
5,c_1_205_2162
2,c_1_205_2163
5,c_1_205_2165
5,c_1_205_2166
10,c_1_205_2167
2,c_1_205_2170
2,c_1_205_2171
2,c_1_205_2172
5,c_1_205_2173
10,c_1_205_2174
5,c_1_205_2176
10,c_1_205_2177
2,c_1_205_2178
10,c_1_205_2180
10,c_1_205_2181
10,c_1_205_2182
10,c_1_205_2183
10,c_1_205_2184
2,c_1_205_2188
2,c_1_205_2189
2,c_1_205_2190
5,c_1_205_2194
5,c_1_205_2195
2,c_1_205_2197
5,c_1_205_2198
3,c_1_205_2200
2,c_1_205_2201
10,c_1_205_2202
3,c_1_205_2203
3,c_1_205_2204
10,c_1_205_2206
3,c_1_205_2208
17,c_1_205_2209
5,c_1_205_2210
2,c_1_205_2211
2,c_1_205_2212
3,c_1_205_2213
2,c_1_205_2214
9,c_1_205_2215
5,c_1_205_2216
10,c_1_205_2217
10,c_1_205_2218
2,c_1_205_2219
2,c_1_205_2221
2,c_1_205_2222
2,c_1_205_2223
3,c_1_205_2224
2,c_1_205_2225
2,c_1_205_2226
10,c_1_205_2227
9,c_1_205_2228
2,c_1_205_2229
5,c_1_205_2230
9,c_1_205_2232
1,c_1_205_2233
